word,reading,furigana
玖馬,キューバ,{玖馬|キューバ}
現代,げんだい,{現代|げん|だい}
現代,ヒュンダイ,{現代|ヒュンダイ}
生粋,きっすい,{生粋|きっ|すい}
甲冑,かっちゅう,{甲冑|かっ|ちゅう}
白百合,しらゆり,{白百合|しら|ゆり}
目論見,もくろみ,{目論見|もくろ|み}
直面,ちょくめん,{直面|ちょく|めん}
直面,ひためん,{直面|ひた|めん}
真っ赤,まっか,{真っ赤|まっ|か}
真っ青,まっさお,{真っ青|まっ|さお}
真田,さなだ,{真田|さな|だ}
眼差し,まなざし,{眼差し|まなざ|し}
眼鏡,めがね,{眼鏡|めがね}
眼鏡,メガネ,{眼鏡|メガネ}
眼鏡,がんきょう,{眼鏡|がん|きょう}
神戸,こうべ,{神戸|こう|べ}
科威都,クウェート,{科威都|クウェート}
空オケ,カラオケ,{空オケ|カラ|オケ}
突尼斯,チュニジア,{突尼斯|チュニジア}
立直,リーチ,{立直|リーチ}
第希蘭,テヘラン,{第希蘭|テヘラン}
等閑,なおざり,{等閑|なおざ|り}
築地,ついじ,{築地|つい|じ}
築山,つきやま,{築山|つき|やま}
紺屋,こうや,{紺屋|こう|や}
経緯,けいい,{経緯|けい|い}
経緯,たてぬき,{経緯|たて|ぬき}
羅宇,ラオス,{羅宇|ラオス}
臥児狼徳,グリーンランド,{臥児狼徳|グリーンランド}
舎路,シアトル,{舎路|シアトル}
舞妓,まいこ,{舞妓|まい|こ}
芒果,マンゴー,{芒果|マンゴー}
花瓶,かびん,{花瓶|か|びん}
花瓶,けびょう,{花瓶|け|びょう}
英蘭,イングランド,{英蘭|イングランド}
薄,すすき,{薄|すすき}
薄,ススキ,{薄|ススキ}
蘇維埃,ソビエト,{蘇維埃|ソビエト}
螺子,ネジ,{螺子|ネジ}
袋小路,ふくろこうじ,{袋小路|ふくろ|こう|じ}
裸足,はだし,{裸足|はだ|し}
西瓜,すいか,{西瓜|すい|か}
見出す,みいだす,{見出す|み|いだ|す}
見落し,みおとし,{見落し|み|おと|し}
詩歌,しいか,{詩歌|しい|か}
読経,どきょう,{読経|ど|きょう}
豚カツ,とんカツ,{豚カツ|とん|カツ}
豚カツ,とんかつ,{豚カツ|とん|かつ}
貝,かい,{貝|かい}
貝,バイ,{貝|バイ}
越後,えちご,{越後|えち|ご}
越歴,エレキ,{越歴|エレキ}
身代金要求,みのしろきんようきゅう,{身代金要求|みのしろきん|ようきゅう}
近衛,このえ,{近衛|この|え}
達頼喇嘛,ダライラマ,{達頼喇嘛|ダライラマ}
郵便切手,ゆうびんきって,{郵便切手|ゆうびん|きって}
野良犬,のらいぬ,{野良犬|のら|いぬ}
野良猫,のらねこ,{野良猫|のら|ねこ}
金糸雀,カナリア,{金糸雀|カナリア}
鈍間,のろま,{鈍間|のろ|ま}
錻力,ブリキ,{錻力|ブリキ}
阿呆,あほ,{阿呆|あ|ほ}
阿呆,アホ,{阿呆|ア|ホ}
雪特尼,シドニー,{雪特尼|シドニー}
青柳,あおやぎ,{青柳|あお|やぎ}
面子,メンツ,{面子|メン|ツ}
餃子,ギョーザ,{餃子|ギョー|ザ}
馬穴,バケツ,{馬穴|バケツ}
高嶺,たかね,{高嶺|たか|ね}
高麗,こうらい,{高麗|こう|らい}
鯛,たい,{鯛|たい}
鯛,タイ,{鯛|タイ}
鯨,くじら,{鯨|くじら}
鯨,クジラ,{鯨|クジラ}
麻雀,マージャン,{麻雀|マージャン}
黎巴嫩,レバノン,{黎巴嫩|レバノン}
１日,ついたち,{１日|ついたち}
１０万,じゅうまん,{１０万|じゅう|まん}
１０代,じゅうだい,{１０代|じゅう|だい}
１０日,とおか,{１０日|とおか}
１０月,じゅうがつ,{１０月|じゅう|がつ}
１００万,ひゃくまん,{１００万|ひゃく|まん}
１００億,ひゃくおく,{１００億|ひゃく|おく}
１００円ショップ,ひゃくえんショップ,{１００円ショップ|ひゃく|えん|ショップ}
１００均,ひゃっきん,{１００均|ひゃっ|きん}
